pothole_count,pothole_area_ratio,crack_area_ratio,damage_area_ratio,damage_severity,pothole_detected,crack_detected,avg_confidence,risk_level
5,0.0305,0.0927,0.1232,0.603,1,1,96.1,High Risk
9,0.0344,0.0829,0.1173,0.646,1,1,90.4,High Risk
7,0.0516,0.0811,0.1327,0.709,1,1,91.9,High Risk
8,0.074,0.0887,0.1627,0.711,1,1,88.5,High Risk
3,0.0244,0.0429,0.065,0.379,1,1,89.4,Medium Risk
6,0.0656,0.1015,0.1671,0.619,1,1,90.8,High Risk
7,0.0806,0.0633,0.1439,0.625,1,1,90.0,High Risk
5,0.0528,0.0801,0.1329,0.517,1,1,91.6,High Risk
18,0.1409,0.36,0.5009,0.953,1,1,90.7,Critical Risk
0,0.0,0.0025,0.0018,0.014,0,0,98.2,Low Risk
17,0.2904,0.1856,0.476,0.83,1,1,85.4,Critical Risk
0,0.0,0.0029,0.0049,0.062,0,0,96.6,Low Risk
6,0.0507,0.0711,0.1218,0.678,1,1,89.3,High Risk
10,0.3056,0.3452,0.65,0.965,1,1,85.8,Critical Risk
13,0.2314,0.2867,0.5181,0.967,1,1,92.5,Critical Risk
31,0.1634,0.3059,0.4693,0.991,1,1,85.7,Critical Risk
1,0.0073,0.0139,0.0212,0.254,1,1,88.3,Medium Risk
13,0.1567,0.1427,0.2994,0.998,1,1,87.0,Critical Risk
27,0.1142,0.379,0.4932,0.904,1,1,85.7,Critical Risk
1,0.0218,0.0313,0.0531,0.366,1,1,93.3,Medium Risk
6,0.0371,0.0766,0.1137,0.47,1,1,92.3,High Risk
0,0.0,0.0012,0.0029,0.019,0,0,97.3,Low Risk
1,0.0108,0.0164,0.0272,0.259,1,1,86.7,Medium Risk
8,0.049,0.1178,0.1668,0.67,1,1,89.9,High Risk
0,0.0,0.0001,0.0033,0.021,0,0,99.6,Low Risk
0,0.0,0.0011,0.0028,0.078,0,0,99.0,Low Risk
0,0.0,0.0013,0.0045,0.047,0,0,95.1,Low Risk
22,0.1522,0.2998,0.452,0.812,1,1,91.4,Critical Risk
21,0.1249,0.3584,0.4833,0.998,1,1,94.4,Critical Risk
21,0.3008,0.1985,0.4993,0.774,1,1,90.7,Critical Risk
0,0.0,0.0401,0.0401,0.265,0,1,88.8,Medium Risk
0,0.0,0.0005,0.0001,0.091,0,0,98.0,Low Risk
9,0.0623,0.1235,0.18,0.509,1,1,95.1,High Risk
2,0.018,0.0299,0.0479,0.41,1,1,87.8,Medium Risk
2,0.023,0.0366,0.0596,0.234,1,1,92.1,Medium Risk
0,0.0,0.002,0.0031,0.002,0,0,99.2,Low Risk
4,0.0578,0.0987,0.1565,0.642,1,1,89.8,High Risk
8,0.032,0.0484,0.0804,0.607,1,1,96.4,High Risk
23,0.1088,0.2883,0.3971,0.829,1,1,96.9,Critical Risk
0,0.0,0.0011,0.0001,0.077,0,0,95.9,Low Risk
0,0.0,0.0407,0.0407,0.284,0,1,89.1,Medium Risk
0,0.0,0.0029,0.004,0.034,0,0,95.9,Low Risk
2,0.0171,0.037,0.0541,0.331,1,1,90.6,Medium Risk
12,0.1221,0.2364,0.3585,0.883,1,1,90.2,Critical Risk
1,0.0072,0.0248,0.032,0.308,1,1,86.2,Medium Risk
0,0.0,0.0277,0.0277,0.429,0,1,87.0,Medium Risk
15,0.1519,0.2062,0.3581,0.9,1,1,96.7,Critical Risk
6,0.048,0.0744,0.1224,0.507,1,1,91.9,High Risk
0,0.0,0.0316,0.0316,0.202,0,1,92.6,Medium Risk
10,0.152,0.2817,0.4337,0.833,1,1,95.7,Critical Risk
5,0.0676,0.0983,0.1659,0.515,1,1,95.8,High Risk
11,0.1363,0.2996,0.4359,0.808,1,1,96.5,Critical Risk
0,0.0,0.0258,0.0258,0.323,0,1,88.6,Medium Risk
5,0.0744,0.1027,0.1771,0.531,1,1,91.6,High Risk
0,0.0,0.003,0.0028,0.093,0,0,97.4,Low Risk
0,0.0,0.0032,0.0045,0.038,0,0,95.5,Low Risk
8,0.0539,0.1168,0.1707,0.635,1,1,89.2,High Risk
0,0.0,0.0005,0.0025,0.004,0,0,99.4,Low Risk
0,0.0,0.0032,0.0009,0.078,0,0,96.1,Low Risk
12,0.1504,0.2519,0.4023,0.912,1,1,94.8,Critical Risk
3,0.0128,0.0316,0.0444,0.271,1,1,88.6,Medium Risk
0,0.0,0.0013,0.0037,0.078,0,0,99.1,Low Risk
8,0.0614,0.0571,0.1185,0.468,1,1,96.7,High Risk
0,0.0,0.0037,0.0018,0.07,0,0,98.0,Low Risk
6,0.0264,0.1169,0.1433,0.664,1,1,95.0,High Risk
6,0.042,0.1079,0.1499,0.563,1,1,92.6,High Risk
9,0.0582,0.0767,0.1349,0.494,1,1,95.8,High Risk
20,0.0913,0.3538,0.4451,0.993,1,1,86.8,Critical Risk
0,0.0,0.0036,0.0017,0.045,0,0,95.5,Low Risk
9,0.0575,0.0573,0.1148,0.604,1,1,92.9,High Risk
0,0.0,0.0014,0.0006,0.017,0,0,98.7,Low Risk
3,0.0129,0.0096,0.0225,0.367,1,1,94.7,Medium Risk
7,0.0765,0.0599,0.1364,0.604,1,1,91.7,High Risk
9,0.0665,0.0661,0.1326,0.704,1,1,93.7,High Risk
2,0.004,0.0139,0.0179,0.291,1,1,95.0,Medium Risk
1,0.0162,0.0208,0.037,0.334,1,1,86.4,Medium Risk
4,0.0328,0.0898,0.1226,0.663,1,1,94.4,High Risk
0,0.0,0.0027,0.0038,0.029,0,0,98.5,Low Risk
6,0.0525,0.0617,0.1142,0.556,1,1,91.3,High Risk
0,0.0,0.0201,0.0201,0.305,0,1,86.8,Medium Risk
7,0.04,0.0452,0.0852,0.505,1,1,89.1,High Risk
0,0.0,0.0035,0.0037,0.084,0,0,98.4,Low Risk
0,0.0,0.0202,0.0202,0.421,0,1,93.0,Medium Risk
0,0.0,0.0014,0.0015,0.097,0,0,98.9,Low Risk
0,0.0,0.0175,0.0175,0.29,0,1,94.2,Medium Risk
4,0.0691,0.069,0.1381,0.545,1,1,95.1,High Risk
18,0.2864,0.2075,0.4939,0.847,1,1,87.7,Critical Risk
9,0.0382,0.1218,0.16,0.62,1,1,93.0,High Risk
25,0.1677,0.1244,0.2921,0.744,1,1,96.9,Critical Risk
3,0.0164,0.0302,0.0466,0.271,1,1,88.3,Medium Risk
0,0.0,0.0429,0.0429,0.405,0,1,87.5,Medium Risk
1,0.0241,0.0106,0.0347,0.176,1,1,88.7,Medium Risk
7,0.0298,0.0734,0.1032,0.705,1,1,94.0,High Risk
0,0.0,0.0026,0.002,0.003,0,0,95.7,Low Risk
18,0.2155,0.2553,0.4708,0.958,1,1,89.7,Critical Risk
0,0.0,0.0147,0.0147,0.269,0,1,89.8,Medium Risk
23,0.13,0.1254,0.2554,0.943,1,1,92.9,Critical Risk
0,0.0,0.0026,0.0008,0.008,0,0,98.1,Low Risk
0,0.0,0.0034,0.0016,0.02,0,0,97.7,Low Risk
10,0.116,0.311,0.427,0.987,1,1,86.8,Critical Risk
4,0.0372,0.0712,0.1084,0.602,1,1,93.2,High Risk
1,0.0112,0.0221,0.0333,0.272,1,1,91.5,Medium Risk
25,0.2392,0.2324,0.4716,0.828,1,1,86.6,Critical Risk
0,0.0,0.0287,0.0287,0.295,0,1,94.4,Medium Risk
5,0.0658,0.063,0.1288,0.572,1,1,94.5,High Risk
9,0.0283,0.1228,0.1511,0.519,1,1,90.7,High Risk
9,0.0603,0.075,0.1353,0.534,1,1,89.8,High Risk
18,0.2328,0.3887,0.6215,0.753,1,1,86.3,Critical Risk
0,0.0,0.0003,0.0026,0.049,0,0,99.7,Low Risk
12,0.2617,0.1535,0.4152,0.889,1,1,88.3,Critical Risk
4,0.0688,0.0972,0.166,0.68,1,1,94.2,High Risk
24,0.1916,0.3677,0.5593,0.973,1,1,96.8,Critical Risk
30,0.21,0.1456,0.3556,0.903,1,1,92.2,Critical Risk
23,0.2955,0.1979,0.4934,0.777,1,1,89.1,Critical Risk
0,0.0,0.0016,0.0031,0.076,0,0,95.2,Low Risk
0,0.0,0.0434,0.0434,0.263,0,1,89.1,Medium Risk
0,0.0,0.0016,0.0041,0.053,0,0,96.8,Low Risk
22,0.2424,0.2812,0.5236,0.782,1,1,91.1,Critical Risk
7,0.0454,0.0864,0.1318,0.559,1,1,88.1,High Risk
0,0.0,0.0391,0.0391,0.376,0,1,88.2,Medium Risk
26,0.3351,0.3344,0.65,0.741,1,1,85.0,Critical Risk
3,0.0243,0.0261,0.0504,0.202,1,1,89.3,Medium Risk
7,0.0437,0.0584,0.1021,0.523,1,1,90.4,High Risk
