road_name,state,district,city,pothole_count,average_pothole_depth,total_crack_length,pavement_age,road_length,traffic_density,rainfall,risk_level,provenance
Bengaluru Survey Corridor R-0149,Karnataka,Bengaluru Urban,Bengaluru,3,3.7,20.1,4.1,21.7,High,Light,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0271,Maharashtra,Mumbai Suburban,Mumbai,1,0.2,4.9,0.2,12.0,Very High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-1056,Andhra Pradesh,Visakhapatnam,Visakhapatnam,23,9.2,132.8,12.2,28.9,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0927,Tamil Nadu,Salem,Salem,3,11.7,19.3,8.5,26.5,Very High,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0746,Tamil Nadu,Chennai,Chennai,0,0.0,88.2,13.2,8.4,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0650,Tamil Nadu,Chennai,Chennai,1,2.6,72.5,15.8,14.5,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0018,Karnataka,Mysuru,Mysuru,31,13.4,101.8,13.4,1.9,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0472,Tamil Nadu,Madurai,Madurai,33,6.7,63.2,12.9,16.4,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-1110,Karnataka,Mysuru,Mysuru,33,14.0,88.5,13.6,33.8,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0765,Kerala,Ernakulam,Kochi,5,9.0,22.4,7.9,24.8,Low,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0210,Karnataka,Mysuru,Mysuru,18,16.9,123.8,15.3,29.9,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0391,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,8.8,1.1,11.1,Medium,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0393,Kerala,Ernakulam,Kochi,2,10.0,29.6,9.2,18.9,Very High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-1148,Maharashtra,Pune,Pune,2,1.5,40.3,9.2,16.1,Very High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0349,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,2.9,0.6,11.4,Very High,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-1093,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,8.4,2.1,29.0,Low,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0370,Telangana,Hyderabad,Hyderabad,18,8.5,69.7,12.3,22.2,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0848,Maharashtra,Pune,Pune,2,0.4,94.9,13.2,24.0,Very High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0453,Kerala,Ernakulam,Kochi,4,12.4,6.7,7.8,16.9,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0041,Karnataka,Bengaluru Urban,Bengaluru,3,3.6,26.1,5.5,22.6,Medium,Moderate,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0805,Tamil Nadu,Coimbatore,Coimbatore,2,0.3,3.4,1.8,3.6,Very High,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0282,Karnataka,Mysuru,Mysuru,34,14.1,80.5,17.7,17.4,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0205,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,2.5,1.5,2.5,Medium,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0307,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,6.3,1.2,34.2,Very High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-1024,Tamil Nadu,Madurai,Madurai,24,9.0,47.6,6.6,23.8,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0402,Karnataka,Mysuru,Mysuru,25,10.2,93.0,16.4,17.3,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0561,Kerala,Ernakulam,Kochi,3,10.0,25.3,7.9,21.7,Low,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Coastal Road Project Strip,Maharashtra,Mumbai City,Mumbai,0,0.0,2.0,0.8,10.5,High,Heavy,Low Risk,IRC:82-2015 Specification Benchmark
Pune Survey Corridor R-0068,Maharashtra,Pune,Pune,3,0.3,36.5,6.0,24.2,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0584,Maharashtra,Pune,Pune,0,0.0,62.8,8.9,18.2,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-1139,Delhi,South Delhi,Delhi NCR,9,3.8,33.9,6.2,23.1,High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0148,Tamil Nadu,Madurai,Madurai,22,9.1,26.8,13.9,29.5,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
